epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1680017581206,2023-03-28T17.33.01.206,3.320,0.010,-0.016,1.017
1680017581216,2023-03-28T17.33.01.216,3.330,0.010,-0.015,1.017
1680017581226,2023-03-28T17.33.01.226,3.340,0.012,-0.016,1.018
1680017581236,2023-03-28T17.33.01.236,3.350,0.011,-0.017,1.016
1680017581246,2023-03-28T17.33.01.246,3.360,0.011,-0.017,1.016
1680017581256,2023-03-28T17.33.01.256,3.370,0.010,-0.016,1.018
1680017581266,2023-03-28T17.33.01.266,3.380,0.009,-0.015,1.018
1680017581276,2023-03-28T17.33.01.276,3.390,0.010,-0.016,1.017
1680017581286,2023-03-28T17.33.01.286,3.400,0.010,-0.016,1.017
1680017581296,2023-03-28T17.33.01.296,3.410,0.011,-0.016,1.016
1680017581306,2023-03-28T17.33.01.306,3.420,0.011,-0.017,1.018
1680017581316,2023-03-28T17.33.01.316,3.430,0.011,-0.018,1.018
1680017581326,2023-03-28T17.33.01.326,3.440,0.011,-0.017,1.017
1680017581336,2023-03-28T17.33.01.336,3.450,0.010,-0.016,1.020
1680017581346,2023-03-28T17.33.01.346,3.460,0.010,-0.015,1.018
1680017581356,2023-03-28T17.33.01.356,3.470,0.010,-0.014,1.016
1680017581366,2023-03-28T17.33.01.366,3.480,0.011,-0.015,1.017
1680017581376,2023-03-28T17.33.01.376,3.490,0.011,-0.018,1.018
1680017581386,2023-03-28T17.33.01.386,3.500,0.012,-0.017,1.018
1680017581396,2023-03-28T17.33.01.396,3.510,0.010,-0.016,1.017
1680017581406,2023-03-28T17.33.01.406,3.520,0.011,-0.017,1.018
1680017581416,2023-03-28T17.33.01.416,3.530,0.010,-0.015,1.018
1680017581426,2023-03-28T17.33.01.426,3.540,0.012,-0.015,1.018
1680017581436,2023-03-28T17.33.01.436,3.550,0.009,-0.016,1.018
1680017581446,2023-03-28T17.33.01.446,3.560,0.011,-0.015,1.018
1680017581456,2023-03-28T17.33.01.456,3.570,0.011,-0.016,1.019
1680017581466,2023-03-28T17.33.01.466,3.580,0.011,-0.015,1.016
1680017581476,2023-03-28T17.33.01.476,3.590,0.012,-0.015,1.016
1680017581486,2023-03-28T17.33.01.486,3.600,0.010,-0.017,1.017
1680017581496,2023-03-28T17.33.01.496,3.610,0.010,-0.016,1.020
